ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
7.449,0.5278,3.8313,0.7366,4.8397,16.2977,5.9771
7.469,0.5562,3.8699,0.9687,495.9008,38.4351,495.5496
7.489,0.5137,3.853,0.9019,471.9237,58.5038,491.9695
7.51,0.4133,3.8411,0.9517,443.5267,99.9237,490.2901
7.529,0.3809,3.8162,0.8496,425.9237,149.9389,496.7481
7.549,0.501,3.7993,0.8118,447.0993,154.6717,21.3282
7.569,0.4688,3.7468,0.8623,461.8855,129.1985,27.9389
7.589,0.4226,3.7434,0.8867,464.2748,105.5267,23.8931
7.609,0.3787,3.7209,0.9768,453.2519,100.1374,12.4275
7.629,0.1836,3.7004,0.9722,431.9389,109.6947,11.8626
7.649,0.0347,3.6382,0.9841,402.8626,163.1908,24.3817
7.669,0.2461,3.6797,0.9844,376.2138,171.6183,51.5344
7.689,0.314,3.6333,0.8909,397.7939,119.0992,48.7786
7.709,0.0901,3.5889,0.8992,424.2901,63.542,21.9313
7.729,3.9878,3.5352,0.9321,432.1908,38.2214,8.7405
7.749,3.9714,3.499,0.8655,426.3588,46.5802,1.1603
7.769,3.9888,3.5347,0.8333,410.8168,69.7252,3.5267
7.789,3.9487,3.501,0.8914,414.3741,49.9466,7.5649
7.809,3.9778,3.457,0.8669,422.229,38.3053,12.5038
7.829,3.9922,3.4351,0.8376,418.626,43.6336,16.3969
7.849,0.0964,3.4377,0.7122,410.2596,61.4885,17.2519
7.869,0.0044,3.4297,0.7681,398.2061,68.687,10.9084
7.889,3.8823,3.342,0.8799,420.5191,46.626,9.5191
7.909,3.9128,3.3242,0.7727,421.0611,27.5954,9.1985
7.929,3.8987,3.3547,0.7405,415.5191,44.2061,3.4427
7.949,3.9158,3.373,0.6846,430.9618,35.8168,2.7939
7.969,3.9102,3.2976,0.7229,444.8015,23.5802,5.3206
7.989,3.9412,3.3274,0.7087,444.9466,19.2519,8.145
8.009,3.8896,3.3589,0.6445,456.5191,14.9389,0.6794
8.029,3.8567,3.4014,0.6523,476.5344,8.229,4.2443
8.049,3.8574,3.28,0.6719,496.7863,17.6336,10.0076
8.069,3.908,3.2539,0.6558,494.9313,11.2748,12.0992
8.089,3.8657,3.283,0.6438,495.1298,10.0305,16.5649
8.109,3.8311,3.2822,0.6367,498.0534,11.1908,16.9084
8.129,3.8108,3.2661,0.657,3.8473,17.4733,11.0534
8.15,3.855,3.2539,0.6697,5.9771,25.7176,12.3359
8.169,3.8687,3.1868,0.6782,495.0,35.7099,8.3588
8.189,3.8604,3.2759,0.6482,483.0993,39.2901,14.2519
8.209,3.7371,3.3066,0.6416,488.3435,36.8321,21.9313
8.229,3.7678,3.3333,0.6575,491.6794,34.0534,38.0382
8.249,3.7141,3.2761,0.6506,1.2977,51.6794,61.8855
8.269,3.6689,3.26,0.6204,8.2901,91.6031,110.3588
8.289,3.6755,3.2874,0.6338,13.8779,130.3511,138.6565
8.309,3.5999,3.3196,0.646,11.4809,133.2214,137.3511
8.329,3.5078,3.3088,0.6575,10.4962,120.4504,143.4504
8.349,3.3704,3.3289,0.604,22.1374,125.5878,154.9542
8.369,3.2852,3.3596,0.5369,23.145,150.4275,183.4733
8.389,3.3467,3.4614,0.4832,10.5496,175.9618,219.8779
8.409,3.3315,3.542,0.5168,483.458,166.4809,209.8015
8.429,3.1653,3.5884,0.532,490.0534,122.8321,167.7863
8.449,3.1211,3.543,0.4431,10.9084,117.5115,144.9542
8.469,3.167,3.6665,0.3467,16.4962,130.1832,169.7023
8.489,3.1138,3.751,0.364,23.1374,130.0687,156.5496
8.509,3.064,3.7534,0.3462,20.4275,98.0382,118.6183
8.529,3.0066,3.7568,0.2959,17.6794,84.3283,109.916
8.549,3.0396,3.8135,0.2756,17.3893,100.1679,124.8321
8.569,3.0952,3.8613,0.2834,13.5878,101.2748,123.542
8.589,3.0691,3.906,0.2253,20.9924,91.397,111.626
8.609,3.0122,3.9673,0.1545,33.8015,104.1069,124.6718
8.629,3.0083,0.0923,0.0198,38.0382,125.2137,144.0382
8.649,3.1074,0.1199,0.1296,30.0992,106.2214,107.8015
8.669,3.0769,0.0911,0.0808,498.5878,61.4733,62.1221
8.689,3.0051,0.0623,3.9976,499.084,91.5191,87.9771
8.709,3.0364,0.178,3.9517,7.9924,120.4733,124.1527
8.729,3.1465,0.2397,0.0376,8.5038,83.7328,90.5344
8.749,3.0276,0.2134,3.9065,3.2748,46.9008,50.0
8.769,3.0256,0.209,3.8657,13.8397,66.7481,58.1908
8.79,3.0669,0.2581,3.8813,15.9237,75.5496,66.2061
8.809,3.0474,0.2959,3.8398,19.4656,43.8168,49.6489
8.829,3.0776,0.2969,3.8381,28.626,15.542,29.7405
8.849,3.0776,0.2695,3.8418,21.3588,11.2061,28.3511
8.869,3.0691,0.2668,3.8396,14.1756,24.1298,39.1069
8.889,3.0757,0.3428,3.8135,20.0382,16.1985,33.9466
8.909,2.9927,0.3733,3.7688,34.4046,500.0611,20.8015
8.929,2.9744,0.3364,3.7878,30.0153,483.3511,23.7786
8.949,3.0042,0.3447,3.8044,13.3893,472.1603,36.7023
8.969,3.0217,0.3545,3.8123,4.9237,461.626,43.5573
8.989,2.998,0.3672,3.811,16.9237,438.5496,36.6718
9.009,3.0078,0.3589,3.8433,29.4885,414.7481,35.3282
9.029,3.0947,0.4048,3.8857,35.1374,379.1832,23.8931
9.049,3.1416,0.3586,3.9236,34.0076,387.3588,15.4962
9.069,3.0938,0.3613,3.9709,30.3588,424.8244,22.4198
9.089,3.1272,0.3882,0.0156,23.1298,438.8855,25.5114
9.109,2.9609,0.3494,0.0459,16.687,390.0993,12.2748
9.129,3.0759,0.3481,0.0674,27.0229,372.7176,31.0229
9.149,3.1646,0.426,0.0767,46.7481,397.8397,45.8397
9.169,3.1812,0.427,0.1091,46.4504,416.4504,41.4122
9.189,3.106,0.3708,0.2026,14.5802,414.8321,36.1221
9.209,3.1812,0.4124,0.1541,1.9847,430.3359,42.6412
9.229,3.2004,0.4783,0.1431,20.2137,452.8855,42.9924
9.249,3.1846,0.491,0.199,11.8702,474.7634,45.6565
9.269,3.1882,0.4475,0.2107,480.8473,14.6031,67.313
9.289,3.168,0.4573,0.1555,466.0229,44.6489,77.7405
9.309,3.1584,0.5308,0.0742,481.1679,59.7557,77.8855
9.329,3.1948,0.6184,0.0605,6.7099,47.0992,66.5573
9.349,3.1589,0.5903,0.0706,0.7405,42.4885,61.542
9.369,3.1729,0.6257,0.0322,477.6336,35.8092,51.4275
9.389,3.2368,0.655,0.0159,475.0687,6.4809,14.0534
9.409,3.1567,0.6367,0.0432,478.6947,460.4122,461.8168
9.43,3.1138,0.6064,0.0581,467.5496,430.6718,436.9618
9.449,3.1924,0.5696,0.1072,452.3588,431.9008,441.0458
9.469,3.2405,0.5518,0.1323,453.8015,450.4275,447.4504
